"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"10/1/2016 0:00","42644","42644","0","14.984","13.594","89.9","0.1819","14.816","13.522","90.1","0.1368","14.625","13.714","89.1","0.2639"
"10/1/2016 1:00","42644.04167","42644","0.041666667","14.936","13.233","90.2","0.1811","14.768","13.233","90.2","0.1361","14.529","13.353","89.7","0.2639"
"10/1/2016 2:00","42644.08333","42644","0.083333333","14.888","13.281","90.6","0.1811","14.745","13.209","90.4","0.1354","14.433","13.425","90.1","0.2632"
"10/1/2016 3:00","42644.125","42644","0.125","14.816","13.257","91.1","0.1811","14.697","13.112","90.8","0.1339","14.337","13.401","90.5","0.2632"
"10/1/2016 4:00","42644.16667","42644","0.166666667","14.768","13.233","92.7","0.1804","14.649","13.185","92.2","0.1332","14.29","13.377","91.4","0.2625"
"10/1/2016 5:00","42644.20833","42644","0.208333333","14.745","13.233","94","0.1804","14.625","13.161","93.2","0.1332","14.266","13.353","92.5","0.2625"
"10/1/2016 6:00","42644.25","42644","0.25","14.721","13.112","94.2","0.1804","14.601","13.112","92.9","0.1318","14.266","13.257","93.1","0.2625"
"10/1/2016 7:00","42644.29167","42644","0.291666667","14.697","13.064","93.7","0.1797","14.577","12.992","92.4","0.131","14.242","13.209","93.1","0.2618"
"10/1/2016 8:00","42644.33333","42644","0.333333333","14.673","12.968","95","0.1702","14.553","12.751","94.1","0.1303","14.17","13.016","93.6","0.2654"
"10/1/2016 9:00","42644.375","42644","0.375","14.649","13.305","96.4","0.1833","14.553","12.871","95.8","0.1296","14.17","13.305","94.6","0.2698"
"10/1/2016 10:00","42644.41667","42644","0.416666667","14.649","13.834","97.2","0.1848","14.529","13.161","96.7","0.1288","14.29","13.69","95.3","0.269"
"10/1/2016 11:00","42644.45833","42644","0.458333333","14.697","14.218","97.6","0.1826","14.529","13.233","97.1","0.1281","14.529","14.194","95.8","0.2683"
"10/1/2016 12:00","42644.5","42644","0.5","14.768","14.098","97.8","0.1797","14.529","13.473","97.4","0.1281","14.745","13.954","96.1","0.2676"
"10/1/2016 13:00","42644.54167","42644","0.541666667","14.84","14.337","98","0.179","14.553","13.594","97.5","0.1281","14.864","14.194","96.4","0.2668"
