"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"9/1/2016 0:00","42614","42614","0","19.96","15.342","79.2","0.0642","19.365","17.391","75.7","0.0214","18.604","16.296","76.9","0.2472"
"9/1/2016 1:00","42614.04167","42614","0.041666667","19.603","15.438","82.8","0.0642","19.199","17.034","79.3","0.0214","18.2","16.129","81.5","0.2465"
"9/1/2016 2:00","42614.08333","42614","0.083333333","19.246","14.481","85.2","0.0649","19.056","16.01","81.2","0.0214","17.843","15.438","83.9","0.2465"
"9/1/2016 3:00","42614.125","42614","0.125","18.961","14.146","87.9","0.0649","18.913","15.461","84.5","0.0214","17.51","14.098","86.9","0.2458"
"9/1/2016 4:00","42614.16667","42614","0.166666667","18.652","13.81","89.8","0.0649","18.794","15.151","86","0.0214","17.153","13.978","90.1","0.2458"
"9/1/2016 5:00","42614.20833","42614","0.208333333","18.39","14.29","90.8","0.0657","18.652","15.414","86.6","0.0214","16.868","14.625","91.3","0.2458"
"9/1/2016 6:00","42614.25","42614","0.25","18.247","15.461","89.6","0.0657","18.533","16.058","86.1","0.0214","16.749","16.177","90.6","0.2458"
"9/1/2016 7:00","42614.29167","42614","0.291666667","18.2","17.106","84.5","0.0649","18.461","16.272","83.1","0.0214","16.725","18.176","81.2","0.2458"
"9/1/2016 8:00","42614.33333","42614","0.333333333","18.224","19.674","74.1","0.0642","18.39","17.796","80.9","0.0214","16.844","20.341","72.5","0.2458"
"9/1/2016 9:00","42614.375","42614","0.375","18.343","20.698","68.1","0.0635","18.343","18.675","77.7","0.0214","17.106","20.65","69.6","0.2458"
"9/1/2016 10:00","42614.41667","42614","0.416666667","18.604","21.056","62.5","0.0613","18.366","19.603","72.5","0.0214","17.558","21.032","64.9","0.2458"
"9/1/2016 11:00","42614.45833","42614","0.458333333","18.937","23.521","57.1","0.0591","18.39","20.722","67.4","0.0206","18.057","21.819","60.3","0.2451"
"9/1/2016 12:00","42614.5","42614","0.5","19.27","23.424","52.5","0.0569","18.438","20.984","62.8","0.0206","18.675","22.345","56.4","0.2443"
"9/1/2016 13:00","42614.54167","42614","0.541666667","19.579","23.232","49.9","0.0548","18.485","21.724","59.8","0.0199","19.46","21.867","53.4","0.2443"
"9/1/2016 14:00","42614.58333","42614","0.583333333","19.817","23.978","49.8","0.0533","18.509","21.843","59","0.0199","20.007","22.25","53.9","0.2429"
"9/1/2016 15:00","42614.625","42614","0.625","19.96","21.056","51.8","0.0511","18.533","20.746","61.2","0.0192","19.722","21.294","55.6","0.2422"
"9/1/2016 16:00","42614.66667","42614","0.666666667","20.055","21.7","55.6","0.0497","18.557","20.96","63.3","0.0192","19.77","21.819","57.2","0.2422"
"9/1/2016 17:00","42614.70833","42614","0.708333333","20.055","21.342","55","0.049","18.533","21.032","62.6","0.0192","19.77","21.628","56.9","0.2414"
"9/1/2016 18:00","42614.75","42614","0.75","19.96","20.198","60.5","0.0475","18.533","20.126","66.4","0.0192","19.532","20.507","61.5","0.2414"
"9/1/2016 19:00","42614.79167","42614","0.791666667","19.817","19.77","64.2","0.0475","18.485","19.841","69.7","0.0192","19.246","20.126","65","0.2414"
"9/1/2016 20:00","42614.83333","42614","0.833333333","19.674","19.103","67.7","0.0475","18.461","19.389","72.1","0.0192","18.961","19.365","68.2","0.2414"
"9/1/2016 21:00","42614.875","42614","0.875","19.508","17.938","71.4","0.0468","18.414","18.533","75","0.0192","18.652","18.366","72.1","0.2414"
"9/1/2016 22:00","42614.91667","42614","0.916666667","19.341","17.677","74.6","0.0468","18.366","17.843","77.1","0.0192","18.343","17.891","74.6","0.2414"
"9/1/2016 23:00","42614.95833","42614","0.958333333","19.175","17.605","74.2","0.0468","18.319","17.986","76.9","0.0192","18.081","17.986","74.3","0.2414"
"9/2/2016 0:00","42615","42615","0","19.056","16.558","76.3","0.0468","18.247","17.177","78.2","0.0192","17.891","17.177","75.5","0.2414"
"9/2/2016 1:00","42615.04167","42615","0.041666667","18.913","16.987","78.4","0.0468","18.176","17.153","80","0.0192","17.677","17.32","77.5","0.2414"
"9/2/2016 2:00","42615.08333","42615","0.083333333","18.794","15.867","76.5","0.0468","18.105","16.392","78.7","0.0192","17.486","16.392","76.6","0.2414"
"9/2/2016 3:00","42615.125","42615","0.125","18.652","15.175","77.8","0.0468","18.033","15.605","79","0.0192","17.153","15.509","77.5","0.2414"
"9/2/2016 4:00","42615.16667","42615","0.166666667","18.461","14.314","79.2","0.0475","17.915","14.888","79.9","0.0192","16.796","14.673","79","0.2407"
"9/2/2016 5:00","42615.20833","42615","0.208333333","18.271","13.522","81.5","0.0475","17.796","14.266","81.5","0.0192","16.487","14.026","81","0.2407"
"9/2/2016 6:00","42615.25","42615","0.25","18.057","13.112","83.2","0.0475","17.677","13.93","82.3","0.0192","16.153","13.762","82.6","0.2407"
"9/2/2016 7:00","42615.29167","42615","0.291666667","17.843","14.433","84.3","0.0475","17.558","14.17","83.7","0.0192","15.939","15.986","81.4","0.24"
"9/2/2016 8:00","42615.33333","42615","0.333333333","17.701","17.796","75","0.0475","17.439","15.557","80.2","0.0192","15.939","17.153","74.3","0.2407"
"9/2/2016 9:00","42615.375","42615","0.375","17.701","19.841","66.7","0.046","17.391","17.225","75.9","0.0192","16.01","19.484","69","0.24"
"9/2/2016 10:00","42615.41667","42615","0.416666667","17.891","21.628","59.1","0.0446","17.368","18.913","70.8","0.0192","16.368","21.748","62.5","0.24"
