"datetime","excel_code","day","time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"2017-10-01 0:00","43009","43009","0","11.54","-1.242","100","0.0039","13.714","7.419","80.6","0.0025","11.175","5.898","86.1","0.3177"
"2017-10-01 1:00","43009.04167","43009","0.041666667","11.248","-1.47","100","0.0046","13.642","7.192","82.5","0.0025","10.858","5.693","88.6","0.317"
"2017-10-01 2:00","43009.08333","43009","0.083333333","10.98","-1.699","100","0.0046","13.57","6.331","83","0.0025","10.565","4.869","90.3","0.317"
"2017-10-01 3:00","43009.125","43009","0.125","10.736","-2.305","100","0.0046","13.449","5.796","84.5","0.0025","10.296","4.22","91.6","0.317"
"2017-10-01 4:00","43009.16667","43009","0.166666667","10.516","-2.625","100","0.0046","13.329","5.05","86.1","0.0025","10.026","3.854","92.6","0.3162"
"2017-10-01 5:00","43009.20833","43009","0.208333333","10.296","-2.712","100","0.0046","13.209","4.818","86.4","0.0025","9.78","3.459","93.3","0.3162"
"2017-10-01 6:00","43009.25","43009","0.25","10.1","-2.859","100","0.0046","13.088","4.402","86.5","0.0025","9.534","2.983","93.9","0.3162"
"2017-10-01 7:00","43009.29167","43009","0.291666667","9.903","-3.271","100","0.0054","12.968","3.932","87.5","0.0025","9.287","2.69","94.4","0.3162"
"2017-10-01 8:00","43009.33333","43009","0.333333333","9.731","-2.044","100","0.0054","12.847","4.089","87.3","0.0025","9.04","3.459","94.8","0.3155"
"2017-10-01 9:00","43009.375","43009","0.375","9.608","3.485","100","0.0061","12.727","6.661","84.4","0.0025","8.891","6.509","95.1","0.3155"
"2017-10-01 10:00","43009.41667","43009","0.416666667","9.682","9.903","100","0.0061","12.678","9.952","80.4","0.0025","8.99","10.932","93.7","0.3162"
"2017-10-01 11:00","43009.45833","43009","0.458333333","10.051","30.469","70.9","0.0061","12.703","13.618","72.1","0.0032","9.336","14.266","76.7","0.3177"
"2017-10-01 12:00","43009.5","43009","0.5","10.687","32.898","33.6","0.0061","12.847","15.342","64.8","0.0025","9.879","15.915","65.7","0.3177"
"2017-10-01 13:00","43009.54167","43009","0.541666667","11.467","19.318","32","0.0054","13.016","15.7","63.8","0.0025","10.736","19.246","60.6","0.3184"
"2017-10-01 14:00","43009.58333","43009","0.583333333","12.147","14.29","60.1","0.0046","13.233","15.748","61","0.0025","12.243","18.485","55.6","0.3191"
"2017-10-01 15:00","43009.625","43009","0.625","12.485","17.415","57.1","0.0046","13.377","16.01","56.2","0.0017","13.738","16.796","52.8","0.3191"
"2017-10-01 16:00","43009.66667","43009","0.666666667","12.727","15.533","44.3","0.0046","13.497","15.796","57.2","0.0017","14.074","15.915","55.8","0.3199"
"2017-10-01 17:00","43009.70833","43009","0.708333333","12.944","13.161","64.8","0.0039","13.57","15.223","61.1","0.0025","13.834","14.888","61.4","0.3191"
"2017-10-01 18:00","43009.75","43009","0.75","13.04","7.519","79.8","0.0039","13.642","14.314","65.8","0.0017","13.666","13.305","68.2","0.3199"
"2017-10-01 19:00","43009.79167","43009","0.791666667","12.944","3.301","93.2","0.0032","13.69","12.92","72.9","0.0017","13.377","12.025","74.3","0.3199"
"2017-10-01 20:00","43009.83333","43009","0.833333333","12.678","1.751","97.3","0.0039","13.69","11.467","80","0.0017","12.992","9.903","81.3","0.3191"
"2017-10-01 21:00","43009.875","43009","0.875","12.34","1.044","98.7","0.0039","13.69","10.394","84.3","0.0025","12.582","8.916","87.1","0.3191"
"2017-10-01 22:00","43009.91667","43009","0.916666667","11.977","0.742","99.4","0.0046","13.666","9.46","88.1","0.0025","12.195","8.27","90.1","0.3184"
"2017-10-01 23:00","43009.95833","43009","0.958333333","11.637","0.246","99.9","0.0054","13.618","8.817","89.8","0.0025","11.856","7.72","91.9","0.3184"
"2017-10-02 0:00","43010","43010","0","11.346","-0.451","100","0.0054","13.546","8.22","90.8","0.0025","11.54","7.268","93.1","0.3184"
"2017-10-02 1:00","43010.04167","43010","0.041666667","11.053","-0.789","100","0.0061","13.473","7.72","91.5","0.0025","11.248","6.813","94","0.3177"
"2017-10-02 2:00","43010.08333","43010","0.083333333","10.761","-1.327","100","0.0068","13.401","7.393","91.8","0.0025","10.956","6.357","94.6","0.3184"
"2017-10-02 3:00","43010.125","43010","0.125","10.516","-1.498","100","0.0083","13.305","6.788","91.8","0.0025","10.687","5.872","95.1","0.317"
"2017-10-02 4:00","43010.16667","43010","0.166666667","10.271","-1.157","100","0.009","13.209","6.357","92","0.0025","10.443","5.411","95.5","0.3177"
"2017-10-02 5:00","43010.20833","43010","0.208333333","10.051","-1.157","100","0.0097","13.112","6.408","92.5","0.0025","10.198","5.488","95.9","0.317"
"2017-10-02 6:00","43010.25","43010","0.25","9.879","-0.845","100","0.0097","13.016","6.281","92.3","0.0025","10.001","5.462","96.2","0.317"
"2017-10-02 7:00","43010.29167","43010","0.291666667","9.756","-1.157","100","0.009","12.92","6.357","92.5","0.0025","9.829","5.462","96.4","0.3162"
"2017-10-02 8:00","43010.33333","43010","0.333333333","9.632","-0.004","100","0.0097","12.847","6.914","92.7","0.0025","9.682","6.331","96.7","0.317"
"2017-10-02 9:00","43010.375","43010","0.375","9.608","7.318","100","0.009","12.775","8.965","92.4","0.0025","9.608","9.188","96.8","0.317"
"2017-10-02 10:00","43010.41667","43010","0.416666667","9.78","13.834","100","0.0068","12.775","13.497","90.3","0.0032","9.756","12.968","96.8","0.317"
"2017-10-02 11:00","43010.45833","43010","0.458333333","10.271","29.54","68.8","0.0054","12.871","16.058","78.5","0.0025","10.222","15.533","96","0.3177"
"2017-10-02 12:00","43010.5","43010","0.5","10.98","33.548","35.7","0.0054","13.016","16.296","68.4","0.0025","10.81","16.749","76.7","0.3177"
"2017-10-02 13:00","43010.54167","43010","0.541666667","11.807","20.126","32.3","0.0054","13.209","17.463","64.5","0.0025","11.637","18.39","64.1","0.3177"
"2017-10-02 14:00","43010.58333","43010","0.583333333","12.485","15.796","62.2","0.0046","13.377","17.51","64.5","0.0025","12.823","18.628","63.5","0.3184"
"2017-10-02 15:00","43010.625","43010","0.625","12.871","17.653","65","0.0046","13.522","16.915","67.6","0.0017","14.146","17.915","64.2","0.3184"
"2017-10-02 16:00","43010.66667","43010","0.666666667","13.112","16.463","51.2","0.0046","13.642","17.368","66.9","0.0017","14.505","17.534","65.6","0.3191"
"2017-10-02 17:00","43010.70833","43010","0.708333333","13.305","14.792","72.2","0.0039","13.738","17.177","63.9","0.0017","14.337","16.868","66.1","0.3199"
"2017-10-02 18:00","43010.75","43010","0.75","13.353","12.751","80.6","0.0039","13.81","16.272","71.6","0.0017","14.146","16.01","71.5","0.3191"
"2017-10-02 19:00","43010.79167","43010","0.791666667","13.353","7.845","90","0.0039","13.858","15.485","76.3","0.0017","14.002","14.912","76.5","0.3199"
"2017-10-02 20:00","43010.83333","43010","0.833333333","13.185","3.827","96.4","0.0039","13.882","13.594","80.4","0.0017","13.762","13.401","81.5","0.3191"
"2017-10-02 21:00","43010.875","43010","0.875","12.871","3.168","98.6","0.0046","13.906","13.161","85.6","0.0017","13.425","12.074","86.5","0.3191"
"2017-10-02 22:00","43010.91667","43010","0.916666667","12.534","2.93","99.5","0.0046","13.906","12.001","88.4","0.0017","13.088","11.029","90","0.3191"
"2017-10-02 23:00","43010.95833","43010","0.958333333","12.219","2.61","99.9","0.0054","13.882","11.248","90.8","0.0017","12.775","10.247","92.2","0.3191"
"2017-10-03 0:00","43011","43011","0","11.929","2.209","100","0.0054","13.834","10.443","91.8","0.0017","12.485","9.903","93.5","0.3184"
"2017-10-03 1:00","43011.04167","43011","0.041666667","11.662","1.67","100","0.0061","13.786","9.903","92.3","0.0025","12.219","9.361","94.3","0.3184"
"2017-10-03 2:00","43011.08333","43011","0.083333333","11.394","1.317","100","0.0068","13.738","9.583","93.2","0.0017","11.977","8.693","95","0.3184"
"2017-10-03 3:00","43011.125","43011","0.125","11.175","1.126","100","0.0076","13.666","9.336","93.1","0.0017","11.71","8.245","95.5","0.3184"
"2017-10-03 4:00","43011.16667","43011","0.166666667","10.956","0.605","100","0.0083","13.57","8.817","92.7","0.0025","11.492","7.995","95.9","0.3177"
"2017-10-03 5:00","43011.20833","43011","0.208333333","10.761","1.017","100","0.009","13.497","8.369","92.7","0.0025","11.273","7.67","96.2","0.3184"
"2017-10-03 6:00","43011.25","43011","0.25","10.565","0.412","100","0.0083","13.401","8.469","93","0.0025","11.053","7.343","96.5","0.3177"
"2017-10-03 7:00","43011.29167","43011","0.291666667","10.394","0.024","100","0.0083","13.329","8.27","93.2","0.0025","10.834","7.368","96.8","0.3177"
"2017-10-03 8:00","43011.33333","43011","0.333333333","10.222","2.477","100","0.0068","13.257","7.895","93.4","0.0025","10.663","7.745","97","0.3177"
