"datetime","excel_code","day","time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"2017-09-01 0:00","42979","42979","0","15.461","8.519","76.8","0.0126","15.055","10.026","75.6","0.0141","14.505","9.287","70.2","0.3337"
"2017-09-01 1:00","42979.04167","42979","0.041666667","14.936","7.82","83.3","0.0126","14.96","9.435","80.9","0.0141","14.122","8.817","79.6","0.3337"
"2017-09-01 2:00","42979.08333","42979","0.083333333","14.433","8.195","86.6","0.0126","14.816","8.792","84.1","0.0141","13.714","8.095","83.5","0.3337"
"2017-09-01 3:00","42979.125","42979","0.125","14.026","7.268","87.3","0.0126","14.697","8.668","83.8","0.0141","13.353","7.92","86.2","0.3329"
"2017-09-01 4:00","42979.16667","42979","0.166666667","13.642","6.458","90.3","0.0148","14.553","7.92","85.7","0.0148","13.04","7.645","87.4","0.3329"
"2017-09-01 5:00","42979.20833","42979","0.208333333","13.305","6.306","93.2","0.0155","14.409","7.419","87.7","0.0148","12.751","6.965","88.9","0.3329"
"2017-09-01 6:00","42979.25","42979","0.25","12.968","5.77","94.6","0.0155","14.29","7.268","88.7","0.0141","12.461","6.636","90.4","0.3322"
"2017-09-01 7:00","42979.29167","42979","0.291666667","12.654","5.565","95.9","0.017","14.17","6.813","90","0.0148","12.195","6.535","91.6","0.3322"
"2017-09-01 8:00","42979.33333","42979","0.333333333","12.413","8.916","95.7","0.017","14.026","8.369","90.4","0.0148","11.977","10.345","92.2","0.3315"
"2017-09-01 9:00","42979.375","42979","0.375","12.389","12.92","81.9","0.017","13.93","10.81","86.1","0.0148","12.001","13.473","83.7","0.3315"
"2017-09-01 10:00","42979.41667","42979","0.416666667","12.678","14.792","67.6","0.0163","13.906","12.147","75.3","0.0141","12.219","14.002","67.7","0.3315"
"2017-09-01 11:00","42979.45833","42979","0.458333333","13.161","15.915","58.3","0.0163","13.906","12.968","69.3","0.0148","12.509","14.649","61.2","0.3315"
"2017-09-01 12:00","42979.5","42979","0.5","13.738","16.106","54.1","0.0155","13.906","13.738","64.1","0.0141","12.92","15.414","56.6","0.3315"
"2017-09-01 13:00","42979.54167","42979","0.541666667","14.361","16.654","52.6","0.0141","13.93","14.577","64.1","0.0141","13.594","16.558","55.4","0.3322"
"2017-09-01 14:00","42979.58333","42979","0.583333333","14.912","17.058","51.5","0.0141","14.002","15.581","62.1","0.0141","15.008","16.701","53.9","0.3322"
"2017-09-01 15:00","42979.625","42979","0.625","15.366","17.724","47.6","0.0134","14.05","16.296","57.8","0.0134","15.629","17.368","50.3","0.3315"
"2017-09-01 16:00","42979.66667","42979","0.666666667","15.676","18.224","53","0.0134","14.122","15.652","61.1","0.0134","15.748","17.272","55.7","0.3322"
"2017-09-01 17:00","42979.70833","42979","0.708333333","15.963","17.629","53.2","0.0126","14.194","15.748","62.8","0.0134","15.963","17.439","56.6","0.3322"
"2017-09-01 18:00","42979.75","42979","0.75","16.129","16.725","56.3","0.0126","14.242","15.629","64.4","0.0134","15.986","16.01","61.4","0.3322"
"2017-09-01 19:00","42979.79167","42979","0.791666667","16.129","14.194","65.2","0.0119","14.29","14.266","68","0.0134","15.819","14.673","65.9","0.3322"
"2017-09-01 20:00","42979.83333","42979","0.833333333","15.915","11.273","74.7","0.0119","14.29","12.751","75.7","0.0134","15.557","12.389","70.2","0.3322"
"2017-09-01 21:00","42979.875","42979","0.875","15.509","10.443","82.6","0.0112","14.266","11.807","79.7","0.0134","15.103","11.273","77.3","0.3322"
"2017-09-01 22:00","42979.91667","42979","0.916666667","15.008","9.632","86.1","0.0112","14.242","11.175","83.7","0.0134","14.625","10.32","83.4","0.3315"
"2017-09-01 23:00","42979.95833","42979","0.958333333","14.505","9.41","88.6","0.0112","14.17","10.785","85.4","0.0134","14.218","9.854","87.3","0.3315"
"2017-09-02 0:00","42980","42980","0","14.074","9.262","90.4","0.0119","14.098","10.492","87","0.0134","13.858","9.534","90","0.3308"
"2017-09-02 1:00","42980.04167","42980","0.041666667","13.714","8.841","89.9","0.0126","14.05","10.051","86.7","0.0134","13.546","8.742","91.4","0.3308"
"2017-09-02 2:00","42980.08333","42980","0.083333333","13.353","8.17","92.1","0.0134","13.978","9.41","87.6","0.0134","13.233","8.369","92.3","0.3308"
"2017-09-02 3:00","42980.125","42980","0.125","13.016","7.745","94","0.0134","13.906","9.139","88.7","0.0134","12.92","7.945","93.1","0.3308"
"2017-09-02 4:00","42980.16667","42980","0.166666667","12.703","7.268","95.1","0.0141","13.81","8.369","89.7","0.0134","12.63","7.494","93.8","0.33"
"2017-09-02 5:00","42980.20833","42980","0.208333333","12.413","6.712","96.2","0.0148","13.69","7.97","90.7","0.0134","12.364","6.965","94.3","0.33"
"2017-09-02 6:00","42980.25","42980","0.25","12.171","6.458","97.1","0.0163","13.594","7.318","91.4","0.0134","12.098","6.636","94.8","0.33"
"2017-09-02 7:00","42980.29167","42980","0.291666667","11.904","6.509","97.9","0.017","13.473","7.318","92.3","0.0134","11.856","6.687","95.2","0.33"
"2017-09-02 8:00","42980.33333","42980","0.333333333","11.71","8.07","98.2","0.0177","13.377","8.07","92.5","0.0141","11.662","10.614","95.2","0.3293"
"2017-09-02 9:00","42980.375","42980","0.375","11.686","14.098","94.3","0.0155","13.305","10.736","91.9","0.0141","11.662","15.724","93.7","0.33"
"2017-09-02 10:00","42980.41667","42980","0.416666667","12.025","17.748","73.3","0.0148","13.305","15.557","80.1","0.0134","11.977","17.724","80.8","0.3308"
"2017-09-02 11:00","42980.45833","42980","0.458333333","12.654","18.985","65.1","0.0141","13.401","16.677","74.1","0.0134","12.534","18.319","69.9","0.33"
"2017-09-02 12:00","42980.5","42980","0.5","13.449","19.936","61.5","0.0134","13.546","17.177","71.5","0.0134","13.233","17.534","65.8","0.3308"
"2017-09-02 13:00","42980.54167","42980","0.541666667","14.218","19.555","60.5","0.0126","13.69","16.987","71.1","0.0134","14.098","18.129","66.6","0.3308"
"2017-09-02 14:00","42980.58333","42980","0.583333333","14.912","19.936","60.7","0.0112","13.81","16.963","71.1","0.0134","15.7","18.176","66.9","0.3308"
"2017-09-02 15:00","42980.625","42980","0.625","15.438","20.579","58.8","0.0112","13.93","17.296","69.3","0.0126","16.725","17.748","66.1","0.3308"
"2017-09-02 16:00","42980.66667","42980","0.666666667","15.748","18.105","62.2","0.0105","14.026","16.844","70","0.0126","16.32","17.724","67.5","0.3308"
"2017-09-02 17:00","42980.70833","42980","0.708333333","15.963","17.558","68.5","0.0097","14.098","16.844","72.7","0.0126","16.153","17.415","69.1","0.3308"
